date,repository,stars,forks,watchers,open_issues,language,views,unique_views,clones,unique_clones
2026-07-03,PG-APP-Core,1,0,0,0,Python,12,3,122,24
2026-07-03,PG-Airflow-DAGs,1,0,0,0,Python,8,3,29,14
2026-07-03,PG-Analytics,1,0,0,0,Python,0,0,0,0
2026-07-03,PG-Core,1,0,0,0,,0,0,0,0
2026-07-03,PG-Cortex,1,0,0,0,,0,0,0,0
2026-07-03,PG-Edge-Container,1,0,0,0,Makefile,5,1,60,27
2026-07-03,PG-Infrastructure,1,0,0,0,Makefile,111,4,614,243
2026-07-03,PG-Sentinel,1,0,0,0,,0,0,0,0
2026-07-03,PG-Shared-Lib,1,0,0,0,Python,6,2,33,17
2026-07-03,PG-Synapse,1,0,0,0,,0,0,0,0
2026-07-03,Platform-Genesis,2,0,0,0,Makefile,269,19,737,273
2026-07-04,PG-APP-Core,1,0,0,0,Python,24,3,113,21
2026-07-04,PG-Airflow-DAGs,1,0,0,0,Python,13,3,24,12
2026-07-04,PG-Analytics,1,0,0,0,Python,289,1,756,243
2026-07-04,PG-Core,1,0,0,0,,34,1,99,46
2026-07-04,PG-Cortex,1,0,0,0,,16,1,27,17
2026-07-04,PG-Edge-Container,1,0,0,0,Makefile,10,1,57,25
2026-07-04,PG-Infrastructure,1,0,0,0,Makefile,75,4,474,200
2026-07-04,PG-Sentinel,1,0,0,0,,12,1,23,17
2026-07-04,PG-Shared-Lib,1,0,0,0,Python,17,3,28,15
2026-07-04,PG-Synapse,1,0,0,0,,11,1,30,18
2026-07-04,Platform-Genesis,2,0,0,0,Makefile,327,18,781,290
2026-07-05,PG-APP-Core,1,0,0,0,Python,26,3,89,15
2026-07-05,PG-Airflow-DAGs,1,0,0,0,Python,16,3,12,9
2026-07-05,PG-Analytics,1,0,0,0,Python,325,2,880,284
2026-07-05,PG-Core,1,0,0,0,,42,1,139,62
2026-07-05,PG-Cortex,1,0,0,0,,25,2,28,18
2026-07-05,PG-Edge-Container,1,0,0,0,Makefile,13,1,48,22
2026-07-05,PG-Infrastructure,1,0,0,0,Makefile,69,4,195,86
2026-07-05,PG-Sentinel,1,0,0,0,,19,2,25,19
2026-07-05,PG-Shared-Lib,1,0,0,0,Python,19,3,29,16
2026-07-05,PG-Synapse,1,0,0,0,,18,2,32,20
2026-07-05,Platform-Genesis,2,0,0,0,Makefile,368,20,806,300
2026-07-06,PG-APP-Core,1,0,0,0,Python,26,3,53,30
2026-07-06,PG-Airflow-DAGs,1,0,0,0,Python,16,3,8,8
2026-07-06,PG-Analytics,1,0,0,0,Python,333,2,886,288
2026-07-06,PG-Core,1,0,0,0,,62,1,268,110
2026-07-06,PG-Cortex,1,0,0,0,,30,2,40,25
2026-07-06,PG-Edge-Container,1,0,0,0,Makefile,13,1,18,14
2026-07-06,PG-Infrastructure,1,0,0,0,Makefile,67,4,172,72
2026-07-06,PG-Sentinel,1,0,0,0,,24,2,31,24
2026-07-06,PG-Shared-Lib,1,0,0,0,Python,19,3,24,15
2026-07-06,PG-Synapse,1,0,0,0,,25,3,47,30
2026-07-06,Platform-Genesis,2,0,0,0,Makefile,352,21,672,257
2026-07-07,PG-APP-Core,1,0,0,0,Python,21,3,44,26
2026-07-07,PG-Airflow-DAGs,1,0,0,0,Python,12,3,5,5
2026-07-07,PG-Analytics,1,0,0,0,Python,342,3,964,312
2026-07-07,PG-Core,1,0,0,0,,75,2,294,120
2026-07-07,PG-Cortex,1,0,0,0,,30,2,40,25
2026-07-07,PG-Edge-Container,1,0,0,0,Makefile,9,1,7,7
2026-07-07,PG-Infrastructure,1,0,0,0,Makefile,57,3,137,67
2026-07-07,PG-Sentinel,1,0,0,0,,24,2,31,24
2026-07-07,PG-Shared-Lib,1,0,0,0,Python,15,3,12,9
2026-07-07,PG-Synapse,1,0,0,0,,25,3,47,30
2026-07-07,Platform-Genesis,2,0,0,0,Makefile,306,19,592,219
2026-07-08,PG-APP-Core,1,0,0,0,Python,20,2,55,31
2026-07-08,PG-Airflow-DAGs,1,0,0,0,Python,12,3,5,5
2026-07-08,PG-Analytics,1,0,0,0,Python,343,3,968,314
2026-07-08,PG-Core,1,0,0,0,,80,2,295,121
2026-07-08,PG-Cortex,1,0,0,0,,30,2,41,26
2026-07-08,PG-Edge-Container,1,0,0,0,Makefile,9,1,4,4
2026-07-08,PG-Infrastructure,1,0,0,0,Makefile,71,3,174,74
2026-07-08,PG-Sentinel,1,0,0,0,,24,2,32,25
2026-07-08,PG-Shared-Lib,1,0,0,0,Python,14,2,10,7
2026-07-08,PG-Synapse,1,0,0,0,,26,3,48,31
2026-07-08,Platform-Genesis,2,0,0,0,Makefile,319,16,554,209
2026-07-09,PG-APP-Core,1,0,0,0,Python,0,0,1,1
2026-07-09,PG-Airflow-DAGs,1,0,0,0,Python,1,1,0,0
2026-07-09,PG-Analytics,1,0,0,0,Python,1,1,3,3
2026-07-09,PG-Core,1,0,0,0,,2,1,5,4
2026-07-09,PG-Cortex,1,0,0,0,,0,0,1,1
2026-07-09,PG-Edge-Container,1,0,0,0,Makefile,0,0,0,0
2026-07-09,PG-Infrastructure,1,0,0,0,Makefile,1,1,3,2
2026-07-09,PG-Sentinel,1,0,0,0,,0,0,2,2
2026-07-09,PG-Shared-Lib,1,0,0,0,Python,1,1,0,0
2026-07-09,PG-Synapse,1,0,0,0,,0,0,1,1
2026-07-09,Platform-Genesis,3,0,0,0,Makefile,7,3,24,9
2026-07-10,PG-APP-Core,1,0,0,0,Python,0,0,26,15
2026-07-10,PG-Airflow-DAGs,1,0,0,0,Python,0,0,0,0
2026-07-10,PG-Analytics,1,0,0,0,Python,0,0,4,3
2026-07-10,PG-Core,1,0,0,0,,3,1,3,3
2026-07-10,PG-Cortex,1,0,0,0,,0,0,0,0
2026-07-10,PG-Edge-Container,1,0,0,0,Makefile,0,0,0,0
2026-07-10,PG-Infrastructure,1,0,0,0,Makefile,1,1,11,8
2026-07-10,PG-Sentinel,1,0,0,0,,0,0,0,0
2026-07-10,PG-Shared-Lib,1,0,0,0,Python,0,0,0,0
2026-07-10,PG-Synapse,1,0,0,0,,0,0,0,0
2026-07-10,Platform-Genesis,3,0,0,0,Makefile,11,2,5,2
2026-07-11,PG-APP-Core,1,0,0,0,Python,0,0,3,3
2026-07-11,PG-Airflow-DAGs,1,0,0,0,Python,0,0,2,2
2026-07-11,PG-Analytics,1,0,0,0,Python,0,0,12,7
2026-07-11,PG-Core,1,0,0,0,,1,1,0,0
2026-07-11,PG-Cortex,1,0,0,0,,0,0,0,0
2026-07-11,PG-Edge-Container,1,0,0,0,Makefile,0,0,0,0
2026-07-11,PG-Infrastructure,1,0,0,0,Makefile,0,0,2,2
2026-07-11,PG-Sentinel,1,0,0,0,,0,0,0,0
2026-07-11,PG-Shared-Lib,1,0,0,0,Python,0,0,0,0
2026-07-11,PG-Synapse,1,0,0,0,,0,0,0,0
2026-07-11,Platform-Genesis,3,0,0,0,Makefile,1,1,21,6
2026-07-12,PG-APP-Core,1,0,0,0,Python,6,1,12,7
2026-07-12,PG-Airflow-DAGs,1,0,0,0,Python,0,0,0,0
2026-07-12,PG-Analytics,1,0,0,0,Python,0,0,3,3
2026-07-12,PG-Core,1,0,0,0,,4,1,17,10
2026-07-12,PG-Cortex,1,0,0,0,,0,0,3,2
2026-07-12,PG-Edge-Container,1,0,0,0,Makefile,0,0,1,1
2026-07-12,PG-Infrastructure,1,0,0,0,Makefile,3,1,0,0
2026-07-12,PG-Sentinel,1,0,0,0,,0,0,1,1
2026-07-12,PG-Shared-Lib,1,0,0,0,Python,0,0,1,1
2026-07-12,PG-Synapse,1,0,0,0,,1,1,1,1
2026-07-12,Platform-Genesis,3,0,0,0,Makefile,4,3,3,2
2026-07-13,PG-APP-Core,1,0,0,0,Python,0,0,1,1
2026-07-13,PG-Airflow-DAGs,1,0,0,0,Python,0,0,0,0
2026-07-13,PG-Analytics,1,0,0,0,Python,0,0,5,4
2026-07-13,PG-Core,1,0,0,0,,1,1,1,1
2026-07-13,PG-Cortex,1,0,0,0,,0,0,0,0
2026-07-13,PG-Edge-Container,1,0,0,0,Makefile,0,0,0,0
2026-07-13,PG-Infrastructure,1,0,0,0,Makefile,0,0,30,2
2026-07-13,PG-Sentinel,1,0,0,0,,0,0,0,0
2026-07-13,PG-Shared-Lib,1,0,0,0,Python,0,0,0,0
2026-07-13,PG-Synapse,1,0,0,0,,0,0,0,0
2026-07-13,Platform-Genesis,3,0,0,0,Makefile,7,2,12,3
2026-07-14,PG-APP-Core,1,0,0,0,Python,2,1,2,2
2026-07-14,PG-Airflow-DAGs,1,0,0,0,Python,2,1,1,1
2026-07-14,PG-Analytics,1,0,0,0,Python,2,1,5,5
2026-07-14,PG-Core,1,0,0,0,,3,2,4,4
2026-07-14,PG-Cortex,1,0,0,0,,2,1,2,2
2026-07-14,PG-Edge-Container,1,0,0,0,Makefile,2,1,4,2
2026-07-14,PG-Infrastructure,1,0,0,0,Makefile,2,1,2,2
2026-07-14,PG-Sentinel,1,0,0,0,,2,1,3,3
2026-07-14,PG-Shared-Lib,1,0,0,0,Python,2,1,1,1
2026-07-14,PG-Synapse,1,0,0,0,,2,1,3,3
2026-07-14,Platform-Genesis,3,0,0,0,Makefile,10,2,3,2
2026-07-15,PG-APP-Core,1,0,0,0,Python,0,0,1,1
2026-07-15,PG-Airflow-DAGs,1,0,0,0,Python,0,0,1,1
2026-07-15,PG-Analytics,1,0,0,0,Python,0,0,3,3
2026-07-15,PG-Core,1,0,0,0,,0,0,1,1
2026-07-15,PG-Cortex,1,0,0,0,,0,0,2,2
2026-07-15,PG-Edge-Container,1,0,0,0,Makefile,0,0,1,1
2026-07-15,PG-Infrastructure,1,0,0,0,Makefile,0,0,1,1
2026-07-15,PG-Sentinel,1,0,0,0,,0,0,1,1
2026-07-15,PG-Shared-Lib,1,0,0,0,Python,0,0,1,1
2026-07-15,PG-Synapse,1,0,0,0,,0,0,1,1
2026-07-15,Platform-Genesis,3,0,0,0,Makefile,2,1,5,3
2026-07-16,PG-APP-Core,1,0,0,0,Python,0,0,1,1
